 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity
12,1,19,37,1,2,7,1,3,1,23,40,35,3,39,35,31,30,3,3,19,26,1,11,1,1,1,1,1,9,26,33,25,29,31,37,33,1,7,1,21,1,6,1,15,1,17,10,3,24,28,1,14,13,22,1,17,16
17,3,10,39,1,3,8,2,3,1,24,38,32,3,40,35,35,30,1,3,23,27,1,13,1,1,1,1,1,9,28,28,21,30,33,37,34,1,6,1,19,2,6,1,21,1,18,14,1,25,26,1,11,12,20,1,15,16
10,2,8,39,1,2,8,1,3,1,26,37,33,3,38,35,31,22,3,3,17,29,1,20,1,1,1,1,1,6,29,28,24,27,36,32,34,1,6,1,20,2,3,1,17,1,14,11,2,17,25,1,20,12,23,1,12,15
16,1,14,41,1,2,10,1,6,1,23,39,34,4,40,37,33,30,6,2,25,28,1,12,1,1,1,1,1,10,27,31,23,36,33,36,38,1,8,1,15,1,8,1,19,1,18,13,4,26,30,1,12,17,21,1,24,20
11,3,13,39,1,2,9,2,8,1,26,41,38,5,42,34,37,27,1,5,24,32,1,15,1,1,1,1,1,20,30,33,29,31,36,35,40,1,9,1,15,2,5,1,17,1,21,13,5,25,28,1,12,22,22,1,19,17
14,3,11,40,1,2,8,1,5,1,22,35,35,5,39,37,33,24,1,3,21,28,1,13,1,1,1,1,1,10,26,31,27,33,36,38,30,1,7,1,12,2,5,1,18,1,20,10,1,25,29,1,16,18,23,1,20,15
9,2,12,39,1,1,9,1,6,1,26,40,33,1,41,37,32,27,4,4,22,28,1,16,1,1,1,1,1,8,28,30,31,35,33,35,38,1,18,1,14,1,6,1,16,1,21,11,4,25,24,1,13,18,23,1,20,15
10,2,12,39,1,1,9,1,6,1,24,36,31,5,40,34,37,29,2,2,22,31,1,12,1,1,1,1,1,9,25,28,26,32,38,33,35,1,5,1,19,1,7,1,19,1,21,15,2,23,27,1,15,13,19,1,16,17
8,3,12,40,1,3,8,1,6,1,25,37,30,3,39,36,34,25,3,2,23,28,1,14,1,1,1,1,1,11,30,33,26,31,38,35,32,1,8,1,18,1,6,1,16,1,20,11,2,23,27,1,14,19,21,1,17,15
12,3,16,42,1,1,9,2,6,1,26,39,32,6,41,40,36,30,6,3,24,26,1,14,1,1,1,1,1,11,32,35,28,32,34,37,37,1,10,1,19,1,6,1,19,1,15,19,3,26,29,1,12,17,22,1,23,21
