 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity
9,14,17,46,4,8,11,1,12,2,33,38,44,1,39,32,36,37,13,1,26,34,4,17,1,1,1,1,1,27,42,35,44,43,39,41,24,2,23,1,20,19,17,1,24,2,15,6,6,28,29,1,9,21,30,1,30,22
8,22,20,46,13,6,9,1,13,3,36,34,43,1,37,39,31,37,11,1,23,33,1,18,1,1,1,1,1,28,41,40,45,44,34,41,25,3,15,1,19,15,17,1,23,3,13,6,6,29,30,1,9,26,31,2,27,21
9,18,17,45,3,7,9,1,14,2,39,35,41,1,39,37,33,36,9,5,23,31,1,19,1,1,1,1,1,26,43,34,44,42,33,40,24,3,16,1,14,11,14,1,23,1,20,7,5,25,27,1,12,28,29,1,30,21
10,22,18,47,6,9,12,1,15,2,35,34,46,1,41,39,36,29,11,6,25,37,6,21,1,1,1,1,1,31,44,42,46,43,38,41,28,3,25,1,21,19,18,1,27,1,14,8,6,30,33,1,13,16,33,3,27,23
9,20,15,45,10,6,8,1,12,1,32,35,43,1,37,38,35,40,17,3,24,34,3,17,1,1,1,1,1,20,42,39,44,40,31,33,25,2,14,1,22,11,13,1,26,2,17,3,5,27,30,1,7,20,28,1,29,23
9,16,18,45,3,6,10,1,12,2,31,33,43,1,38,35,36,39,8,3,23,33,1,20,1,1,1,1,1,26,44,41,42,39,31,37,26,5,16,1,14,16,13,1,23,1,21,6,3,30,29,1,10,23,25,1,28,19
10,18,18,46,3,8,9,1,13,2,35,36,43,1,40,38,37,27,12,6,26,33,1,21,1,1,1,1,1,30,41,41,44,44,34,38,23,3,16,1,20,15,14,1,25,1,16,6,6,31,28,1,10,28,32,3,24,22
5,19,13,42,3,1,6,1,9,2,33,32,38,1,35,28,30,37,7,1,21,31,1,15,1,1,1,1,1,26,39,34,41,40,29,35,22,2,17,1,13,11,10,1,19,1,13,3,3,27,24,1,8,23,24,1,18,15
7,13,16,44,6,5,9,1,12,2,33,36,43,1,37,36,32,28,17,5,22,34,3,18,1,1,1,1,1,29,40,39,41,43,26,38,24,2,14,1,15,11,9,1,21,1,23,3,1,31,27,1,9,20,31,1,26,20
11,13,14,46,6,8,9,1,17,2,34,35,43,1,40,39,33,27,9,1,22,38,1,16,1,1,1,1,1,31,41,41,44,44,37,36,25,3,24,1,15,12,20,1,26,1,23,6,6,28,30,1,18,20,28,3,32,20
8,15,18,44,6,1,8,1,10,3,31,37,42,1,38,35,33,24,8,1,25,32,1,15,1,1,1,1,1,27,41,39,43,40,34,37,23,2,13,1,13,11,17,1,22,1,16,5,4,29,30,1,19,21,29,3,26,20
7,12,18,44,4,1,10,1,12,2,35,31,43,1,39,33,36,25,8,1,23,33,1,18,1,1,1,1,1,29,43,37,41,40,38,35,25,3,21,1,20,15,12,1,22,3,20,6,6,30,27,1,10,16,27,1,27,14
9,13,22,45,5,7,10,1,14,2,32,37,42,1,37,38,34,23,12,5,24,33,1,18,1,1,1,1,1,27,41,40,43,44,35,40,25,3,20,1,16,12,15,1,26,1,17,7,3,30,29,1,9,19,31,1,28,21
7,11,12,45,17,5,8,1,10,2,38,33,41,1,40,35,32,36,19,4,23,32,3,17,1,1,1,1,1,26,43,38,44,43,35,38,25,2,14,1,17,14,20,1,24,1,21,6,3,27,29,1,10,17,30,2,29,22
10,15,18,46,3,7,10,1,12,2,35,37,45,1,40,33,37,26,10,1,23,34,5,20,1,1,1,1,1,30,43,37,44,42,39,41,25,3,18,1,18,13,15,1,24,3,21,7,6,27,32,1,13,28,28,1,30,22
8,13,19,45,6,1,10,1,15,2,33,33,43,1,39,32,35,26,8,4,23,37,1,21,1,1,1,1,1,31,43,40,41,41,35,37,25,2,13,1,20,13,16,1,24,2,17,6,6,28,27,1,10,17,30,1,29,21
6,10,17,43,2,1,8,1,11,2,33,32,41,1,37,31,29,27,10,5,20,35,1,18,1,1,1,1,1,28,37,40,39,42,34,38,22,2,21,1,15,14,12,1,23,1,14,5,2,25,24,1,7,16,27,1,31,19
5,12,15,42,3,3,7,1,9,2,31,32,38,1,40,33,37,29,8,3,18,28,1,13,1,1,1,1,1,25,35,34,38,41,30,36,23,1,14,1,15,11,9,1,20,1,17,1,1,25,19,1,5,22,27,1,24,21
8,15,15,44,3,5,8,1,11,2,34,33,43,2,37,35,38,30,10,1,22,33,1,17,1,1,1,1,1,24,40,37,42,41,31,39,25,3,19,1,20,13,12,1,24,1,17,5,6,27,28,1,8,26,29,1,21,19
9,19,21,46,6,6,13,1,12,2,34,38,44,1,39,37,34,30,11,1,23,33,1,19,1,1,1,1,1,28,43,40,45,42,36,40,27,3,15,1,17,19,14,1,25,3,15,8,5,29,30,1,9,22,32,3,25,24
