 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity
15,34,28,40,18,17,23,3,24,2,39,48,54,6,51,43,42,50,27,3,35,44,13,31,6,1,10,11,1,32,50,46,54,52,48,45,41,2,25,7,27,19,21,9,23,9,29,16,12,36,37,1,30,15,38,4,34,21
15,31,28,34,9,13,19,3,22,2,38,43,45,9,48,46,39,49,26,4,32,43,13,24,1,1,1,11,1,35,50,47,52,51,41,41,40,2,13,1,22,17,18,5,28,9,26,16,7,33,37,1,26,30,36,5,19,22
10,26,28,37,16,8,18,1,25,2,42,45,46,10,50,49,41,44,30,4,32,39,10,24,1,1,7,10,1,34,52,40,47,51,43,48,38,3,17,1,21,15,19,4,22,6,30,14,13,28,36,1,23,26,35,1,33,20
15,33,29,39,12,16,24,9,26,1,42,42,51,7,53,45,47,49,28,3,33,45,12,30,4,1,11,14,1,38,55,41,51,54,47,50,44,2,20,7,26,21,23,5,31,9,32,18,16,35,37,1,24,19,40,7,36,21
15,27,27,38,23,17,21,5,21,1,39,45,53,11,49,49,40,47,29,3,26,43,11,31,1,1,7,11,1,33,51,46,51,47,42,44,40,2,9,1,23,19,19,5,25,8,32,13,15,33,37,1,30,15,35,5,36,18
15,24,28,35,18,13,23,5,20,1,38,44,52,7,51,41,42,48,27,3,29,42,12,30,1,1,1,11,1,31,50,48,47,39,44,46,40,2,8,1,20,15,22,5,26,8,32,14,10,35,37,1,24,17,33,5,35,18
14,30,31,38,17,17,23,5,26,2,41,48,52,7,51,50,43,48,25,5,34,46,16,29,1,1,10,12,1,35,44,45,53,54,40,47,42,3,14,1,23,21,23,7,27,9,33,13,11,37,39,1,28,19,36,5,31,19
13,32,30,36,25,17,20,6,22,2,39,42,51,18,49,45,42,49,28,9,31,47,11,27,1,1,1,10,1,37,51,45,53,48,45,42,38,3,14,1,25,16,25,4,23,7,33,11,8,34,39,1,29,18,35,5,21,15
10,27,28,35,15,12,25,1,21,2,37,45,50,9,47,42,38,41,24,3,29,43,10,31,1,1,1,14,1,33,47,46,49,51,40,43,38,1,13,1,20,18,18,5,22,6,30,15,7,32,36,1,23,8,34,4,26,17
16,34,27,39,17,19,23,8,29,1,42,47,55,10,52,52,46,49,28,6,33,50,14,30,4,1,11,14,3,39,48,44,55,54,45,50,43,2,26,8,25,21,23,6,31,13,36,17,12,35,41,1,32,20,38,4,37,22
