feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
20,36,4,1,1,29,30,17,2,35,37,6,25,1,26,14,9,1,16,1,28,13,7,32,8,1,1,5,22,33,1,21,1,14,11,17,30,1,23,1,3,34,24,12,27,1,1,9,1,19
26,31,4,1,1,29,28,27,1,36,34,5,15,1,18,10,20,1,7,1,25,7,3,29,15,1,1,5,20,34,1,9,1,12,23,17,31,1,20,1,2,34,24,12,20,1,1,14,1,10
12,32,3,1,1,35,34,28,1,36,25,7,27,1,14,17,15,1,11,1,29,4,7,30,19,1,1,4,21,31,1,16,1,10,9,22,24,1,23,1,2,32,26,7,18,1,1,12,1,20
24,32,2,1,1,34,32,23,1,36,29,7,24,1,19,8,17,1,8,1,31,11,4,34,10,1,1,6,17,20,1,13,1,13,5,15,26,1,22,1,3,30,27,17,27,1,1,21,1,11
17,35,3,1,1,29,25,28,1,36,32,7,17,1,15,22,9,1,9,1,27,5,6,33,13,1,1,13,13,30,1,17,1,21,4,19,34,1,22,1,2,30,26,9,20,1,1,9,1,24
9,35,3,1,1,27,29,24,1,36,31,12,24,1,17,21,12,1,8,1,28,7,5,34,20,1,1,4,17,30,1,6,1,15,12,21,26,1,12,1,2,33,31,9,16,1,1,19,1,24
13,33,3,1,1,31,27,23,1,36,35,8,25,1,9,21,11,1,18,1,26,7,4,34,10,1,1,6,18,27,1,22,1,17,14,20,24,1,12,1,2,32,30,5,29,1,1,14,1,16
13,30,3,1,1,33,31,18,1,36,34,7,23,1,15,13,10,1,9,1,28,11,4,32,20,1,1,4,23,35,1,7,1,12,28,18,25,1,21,1,2,27,22,6,26,1,1,18,1,16
8,27,2,1,1,31,33,23,1,36,34,12,25,1,9,12,15,1,5,1,27,6,4,26,18,1,1,7,15,31,1,20,1,14,12,22,30,1,20,1,3,34,29,9,17,1,1,24,1,20
17,35,3,1,1,27,29,23,1,36,34,4,25,1,19,21,9,1,11,1,31,7,5,29,14,1,1,5,16,33,1,12,1,19,14,9,24,1,9,1,2,31,28,13,26,1,1,18,1,21
12,27,6,1,1,28,32,22,1,36,35,8,24,1,17,14,10,1,5,1,29,7,3,34,9,1,1,4,23,33,1,15,1,11,12,19,31,1,21,1,2,29,26,18,25,1,1,15,1,20
23,33,5,1,1,34,29,24,1,36,35,8,21,1,9,14,11,1,11,1,28,5,3,32,18,1,1,4,24,31,1,17,1,13,7,21,26,1,19,1,2,29,27,11,20,1,1,16,1,14
10,27,3,1,1,31,24,29,1,36,34,4,18,1,13,22,18,1,8,1,27,12,7,31,9,1,1,5,21,31,1,16,1,10,15,20,31,1,18,1,2,35,24,6,27,1,1,23,1,14
19,34,4,1,1,33,28,24,2,37,36,17,23,1,18,15,15,1,21,1,28,11,8,31,6,1,1,6,9,32,1,14,1,6,24,13,27,1,20,1,3,34,30,12,26,1,1,9,1,22
22,33,3,1,1,29,24,23,1,35,35,16,26,1,11,15,13,1,4,1,31,8,11,29,20,1,1,5,18,25,1,17,1,8,11,13,26,1,19,1,2,28,33,6,31,1,1,8,1,20
11,32,3,1,1,29,33,21,1,36,31,11,29,1,23,25,4,1,7,1,19,18,9,27,20,1,1,8,16,28,1,13,1,16,5,10,33,1,14,1,2,35,24,5,25,1,1,21,1,14
13,31,3,1,1,35,32,29,1,36,34,6,23,1,11,22,16,1,9,1,27,7,4,26,13,1,1,4,8,30,1,15,1,12,10,21,28,1,24,1,2,33,25,17,18,1,1,19,1,19
22,34,3,1,1,29,24,22,1,36,33,18,27,1,11,13,11,1,9,1,31,7,5,30,20,1,1,5,18,32,1,14,1,4,11,18,27,1,16,1,2,35,25,8,26,1,1,21,1,15
23,33,3,1,1,31,25,21,1,36,35,6,28,1,9,20,10,1,12,1,27,8,4,23,10,1,1,4,21,26,1,16,1,15,6,17,33,1,19,1,2,33,29,14,29,1,1,18,1,13
19,34,3,1,1,25,27,24,1,36,26,5,29,1,21,23,18,1,10,1,32,22,4,28,9,1,1,8,16,32,1,7,1,16,5,12,35,1,13,1,2,30,31,11,19,1,1,15,1,13
