feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
20,18,31,1,1,28,17,28,5,38,15,9,20,1,6,36,26,1,12,1,24,15,34,9,24,1,1,3,31,35,1,8,1,37,13,31,19,2,4,1,7,27,11,23,22,1,1,13,1,33
27,18,29,1,1,14,11,23,3,38,16,10,17,1,7,35,36,1,15,1,28,20,32,6,18,1,1,5,26,31,1,8,1,37,12,32,22,2,3,1,8,24,24,29,21,1,1,13,1,34
25,15,29,1,1,22,14,33,4,38,24,9,27,1,8,37,19,1,12,1,25,16,35,7,22,1,1,3,29,35,1,6,1,35,10,28,17,2,4,1,11,19,17,21,31,1,1,12,1,32
24,17,26,1,1,29,14,18,4,38,22,9,19,1,7,34,14,1,12,1,30,22,36,7,20,1,1,3,25,36,1,6,1,35,11,28,20,2,4,1,9,32,13,30,26,1,1,16,1,33
26,17,23,1,1,33,10,17,4,38,20,9,23,1,6,28,16,1,12,1,36,13,31,5,25,1,1,3,29,35,1,8,1,37,14,34,20,2,7,1,11,26,20,23,29,1,1,15,1,31
24,15,33,1,1,26,17,21,5,38,19,10,29,1,6,34,20,1,12,1,31,13,37,8,27,1,1,3,22,35,1,6,1,36,11,32,16,2,4,1,9,24,18,23,27,1,1,13,1,29
28,15,33,1,1,19,18,23,4,38,12,10,31,1,8,33,31,1,14,1,26,15,37,6,26,1,1,3,30,36,1,6,1,35,11,25,21,2,5,1,9,17,22,20,24,1,1,13,1,29
25,13,30,1,1,18,17,25,4,38,20,11,32,1,8,34,29,1,10,1,27,22,37,6,19,1,1,3,20,35,1,9,1,36,12,32,16,2,5,1,7,27,15,25,32,1,1,13,1,23
24,20,31,1,1,23,13,17,4,38,15,9,29,1,8,37,26,1,14,1,36,15,30,4,21,1,1,3,24,33,1,7,1,35,11,33,21,2,6,1,9,28,18,27,19,1,1,12,1,33
31,15,35,1,1,22,17,16,4,38,21,11,19,1,9,33,29,1,14,1,31,12,37,6,25,1,1,3,27,28,1,7,1,36,10,25,18,2,5,1,7,23,24,19,30,1,1,13,1,33
29,14,29,1,1,24,18,20,4,38,20,8,15,1,9,37,33,1,12,1,25,15,35,7,28,1,1,3,23,31,1,6,1,35,10,33,17,2,4,1,11,25,19,22,27,1,1,13,1,31
25,22,19,1,1,25,13,17,4,38,21,7,32,1,9,34,28,1,12,1,23,15,33,10,29,1,1,3,30,35,1,5,1,36,11,31,15,2,5,1,8,23,18,20,37,1,1,14,1,27
23,14,25,1,1,27,20,22,4,38,17,8,21,1,9,36,25,1,11,1,34,16,32,5,28,1,1,3,24,35,1,7,1,33,11,36,17,2,5,1,9,30,13,19,30,1,1,15,1,30
24,27,36,1,1,21,13,19,4,38,14,10,26,1,9,34,21,1,15,1,25,21,37,5,27,1,1,3,29,32,1,7,1,34,11,32,12,2,5,1,7,30,18,17,21,1,1,16,1,31
28,10,30,1,1,26,18,23,3,38,16,11,19,1,7,33,20,1,15,1,25,23,35,7,33,1,1,3,29,36,1,5,1,36,12,31,23,2,6,1,9,26,12,17,21,1,1,14,1,32
34,21,34,1,1,32,13,22,5,38,20,9,31,1,7,36,22,1,13,1,28,17,37,7,16,1,1,3,28,26,1,6,1,30,10,18,19,2,4,1,10,24,15,24,27,1,1,12,1,32
22,20,28,1,1,27,13,16,4,38,32,10,32,1,6,30,25,1,12,1,29,15,34,6,23,1,1,3,21,30,1,8,1,37,11,23,14,2,4,1,9,36,18,16,25,1,1,18,1,34
29,18,32,1,1,24,12,25,4,38,18,10,26,1,8,37,22,1,13,1,22,18,36,4,20,1,1,3,29,35,1,7,1,34,11,29,21,2,6,1,9,27,15,16,32,1,1,13,1,32
34,16,24,1,1,20,15,19,4,38,21,9,25,1,7,36,31,1,11,1,28,23,32,6,13,1,1,3,28,34,1,9,1,37,14,25,16,2,5,1,9,30,18,22,32,1,1,11,1,28
32,13,27,1,1,23,18,12,5,38,13,11,31,1,9,34,20,1,15,1,24,19,35,6,28,1,1,3,20,37,1,8,1,36,10,24,22,2,6,1,4,29,17,26,30,1,1,15,1,32
