feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
25,17,33,1,1,27,30,31,10,39,15,11,29,1,5,38,37,2,12,1,20,15,36,5,31,1,1,7,28,34,1,8,1,35,18,23,15,3,4,1,9,23,18,22,21,1,1,13,1,25
19,26,29,1,1,22,24,24,8,39,15,11,33,1,4,36,38,2,13,1,27,19,35,5,31,1,1,7,22,34,1,10,1,37,16,32,14,3,5,1,8,28,18,30,16,1,1,11,1,22
22,23,33,1,1,25,29,32,9,39,24,14,35,1,5,36,31,2,12,1,20,17,36,7,28,1,1,10,29,38,1,6,1,34,11,27,15,3,4,1,7,21,15,18,18,1,1,13,1,26
20,22,32,1,1,26,31,17,10,39,26,19,26,1,6,36,32,2,13,1,29,18,38,5,20,1,1,6,23,37,1,9,1,34,14,24,11,3,4,1,8,35,15,29,15,1,1,12,1,28
36,18,38,1,1,37,30,16,10,39,20,11,30,1,5,22,34,2,15,1,30,18,34,4,23,1,1,8,27,30,1,9,1,16,13,34,12,3,7,1,5,27,21,26,24,1,1,14,1,24
20,16,36,1,1,26,29,23,11,39,26,17,37,1,4,33,28,2,14,1,31,14,38,7,31,1,1,6,21,35,1,8,1,30,10,34,13,3,4,1,8,25,17,19,22,1,1,12,1,24
30,15,37,1,1,26,29,22,10,39,17,15,36,1,8,35,33,2,11,1,24,17,38,4,27,1,1,5,32,33,1,6,1,30,14,22,13,3,6,1,9,19,25,21,20,1,1,12,1,27
23,15,34,1,1,26,28,31,10,39,25,20,34,1,5,33,36,2,11,1,29,18,38,6,20,1,1,8,15,31,1,8,1,36,15,23,13,3,4,1,8,29,17,22,19,1,1,12,1,27
22,19,36,1,1,26,23,21,10,39,19,17,38,1,6,30,34,2,16,1,33,15,31,4,28,1,1,7,36,28,1,7,1,35,12,27,18,3,5,1,9,32,13,24,13,1,1,11,1,24
35,16,38,1,1,32,29,19,8,39,18,19,34,1,5,35,33,2,15,1,27,12,37,6,31,1,1,8,25,21,1,11,1,30,10,27,14,3,4,1,7,24,23,17,21,1,1,13,1,27
28,19,34,1,1,25,30,22,8,39,21,16,32,1,6,35,38,2,12,1,20,17,29,5,37,1,1,7,22,30,1,9,1,32,14,35,11,3,4,1,10,26,15,17,24,1,1,13,1,26
31,26,22,1,1,18,29,26,10,39,22,16,37,1,7,34,37,2,14,1,24,14,36,4,26,1,1,5,26,33,1,8,1,34,13,30,11,3,5,1,8,19,17,22,31,1,1,12,1,19
24,17,31,1,1,36,33,21,11,39,20,12,31,1,8,38,33,2,14,1,30,18,27,5,27,1,1,7,27,35,1,6,1,24,14,37,10,3,4,1,9,29,16,19,23,1,1,12,1,21
24,28,38,1,1,23,28,18,11,39,22,15,36,1,6,31,35,2,14,1,20,19,37,5,21,1,1,6,32,34,1,9,1,30,10,33,12,3,4,1,8,26,17,13,24,1,1,16,1,26
23,11,31,1,1,26,36,26,9,39,19,20,34,1,4,34,29,2,22,1,24,24,36,4,32,1,1,7,28,34,1,7,1,38,13,21,18,3,6,1,10,30,13,16,15,1,1,12,1,16
36,16,33,1,1,29,29,24,12,39,21,20,38,1,5,33,32,2,15,1,23,14,37,6,18,1,1,8,27,31,1,11,1,35,8,18,16,3,4,1,10,27,13,24,26,1,1,7,1,21
25,19,36,1,1,27,29,16,10,39,28,17,37,1,6,30,37,2,13,1,35,21,34,5,25,1,1,7,33,23,1,9,1,30,11,20,12,3,4,1,8,32,15,17,24,1,1,14,1,22
26,19,35,1,1,32,31,21,9,39,20,16,37,1,6,38,24,2,14,1,30,13,34,4,22,1,1,8,24,36,1,6,1,28,14,28,18,3,6,1,11,33,12,17,26,1,1,10,1,24
36,18,30,1,1,22,28,16,8,39,25,11,29,1,6,33,38,2,13,1,26,17,31,4,18,1,1,7,33,33,1,13,1,36,15,20,13,3,5,1,9,33,22,24,27,1,1,9,1,22
28,25,27,1,1,23,34,13,10,39,20,14,38,1,8,35,35,2,15,1,25,23,32,5,29,1,1,8,22,37,1,7,1,31,12,16,17,3,5,1,4,21,18,18,30,1,1,10,1,32
