feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
34,9,35,39,21,29,20,12,31,37,13,24,10,1,2,31,36,1,8,1,29,27,40,4,17,1,1,6,15,29,1,3,1,13,7,33,16,11,2,1,5,23,17,24,21,1,37,19,1,26
25,9,25,39,27,30,12,35,36,37,14,16,11,1,2,31,33,1,8,1,20,12,38,7,28,1,1,4,25,33,1,3,1,16,5,18,19,10,2,1,5,22,21,31,28,1,40,14,1,23
31,7,33,35,14,29,13,19,31,36,16,10,15,1,2,24,36,1,8,1,38,26,40,6,31,1,1,5,20,25,1,3,1,23,10,28,21,8,2,1,4,16,12,34,26,1,39,18,1,21
24,8,24,37,15,23,8,17,35,30,8,14,11,1,2,27,33,1,5,1,20,20,39,8,34,1,1,3,18,29,1,2,1,31,6,19,22,13,2,1,4,27,11,26,32,1,38,15,1,36
37,8,27,34,12,30,20,20,32,39,17,15,10,1,3,20,39,1,12,1,35,26,40,6,28,1,1,4,13,32,1,3,1,24,6,30,25,10,2,1,7,23,15,20,20,1,37,17,1,33
25,7,31,35,18,25,18,33,39,37,13,12,15,1,2,20,40,1,10,1,23,29,35,8,28,1,1,5,23,27,1,3,1,33,6,16,23,9,2,1,4,13,11,31,31,1,38,17,1,21
22,12,17,36,24,34,14,20,34,37,20,26,9,1,2,31,39,1,6,1,26,23,33,11,31,1,1,3,13,31,1,2,1,28,4,20,17,5,6,1,9,28,15,16,37,1,40,8,1,26
30,9,19,39,22,33,12,16,22,36,22,22,9,1,2,31,34,1,8,1,14,18,36,7,31,1,1,3,11,22,1,2,1,34,4,29,14,4,2,1,6,28,13,26,22,1,38,17,1,26
27,9,35,25,22,31,16,28,31,38,13,10,12,1,2,29,37,1,8,1,23,16,40,4,29,1,1,5,19,24,1,3,1,36,6,33,18,11,2,1,6,19,14,21,38,1,34,15,1,25
19,4,35,38,24,32,12,28,32,39,13,18,7,1,3,31,36,1,11,1,34,22,41,5,37,1,1,5,24,28,1,8,1,27,10,19,14,16,2,1,9,21,15,26,23,1,40,17,1,30
22,10,36,39,7,33,19,22,27,33,13,13,5,1,2,30,37,1,4,1,24,16,38,9,22,1,1,3,18,29,1,2,1,25,8,20,26,11,2,1,5,16,13,27,35,1,32,13,1,30
30,12,33,39,14,27,15,20,31,35,16,22,5,1,3,25,40,1,10,1,24,18,38,7,21,1,1,4,10,37,1,2,1,28,6,29,18,10,2,1,13,23,17,26,32,1,35,8,1,33
23,9,26,37,19,33,17,19,36,28,5,26,6,1,2,14,39,1,6,1,24,17,33,10,32,1,1,3,16,30,1,2,1,35,4,22,30,10,1,1,8,14,13,29,21,1,38,12,1,26
29,8,35,40,17,34,15,22,30,32,15,16,10,1,3,19,39,1,7,1,25,20,38,11,21,1,1,5,27,37,1,3,1,25,10,29,18,6,2,1,4,13,26,23,37,1,34,12,1,32
26,7,39,38,19,18,17,23,33,36,12,12,11,1,2,32,34,1,6,1,29,23,35,7,27,1,1,4,16,31,1,3,1,23,9,23,5,14,2,1,10,20,23,15,39,1,36,29,1,29
30,7,32,38,22,35,12,23,26,38,13,19,10,1,2,17,40,1,11,1,24,21,37,4,33,1,1,5,14,33,1,3,1,24,8,20,28,5,2,1,9,17,17,26,29,1,35,14,1,30
23,10,32,39,20,30,28,17,18,32,18,21,8,1,2,36,37,1,11,1,35,23,40,6,21,1,1,4,14,34,1,2,1,30,4,26,9,13,2,1,7,29,12,25,15,1,38,16,1,27
17,9,21,38,22,34,20,13,30,36,16,11,10,1,3,29,40,1,7,1,18,28,38,13,32,1,1,5,20,33,1,3,1,26,7,35,23,8,2,1,4,26,16,24,26,1,39,14,1,31
34,4,33,36,14,22,16,12,34,36,16,12,11,1,2,31,39,1,10,1,27,27,40,7,31,1,1,6,20,23,1,3,1,29,9,30,20,8,2,1,4,15,18,24,24,1,38,19,1,27
21,5,29,32,11,25,15,21,36,37,12,15,8,1,2,28,38,1,7,1,23,26,39,8,32,1,1,4,18,31,1,2,1,34,6,23,20,13,2,1,3,18,10,17,29,1,35,15,1,27
