feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
29,12,38,33,28,35,15,39,35,41,14,8,16,1,6,31,34,1,7,1,27,18,37,10,32,1,1,2,20,30,1,4,1,39,10,19,23,16,3,1,4,22,9,21,24,1,26,13,1,25
31,14,28,41,20,29,11,27,37,31,16,7,10,1,4,36,38,1,12,1,33,22,40,9,38,1,1,3,22,29,1,4,1,35,8,20,33,12,2,1,6,20,14,18,24,1,26,16,1,25
35,16,31,40,21,24,12,33,38,39,18,7,10,1,5,36,27,1,7,1,24,23,41,7,36,1,1,3,21,33,1,4,1,29,11,19,27,17,2,1,9,20,14,13,33,1,26,15,1,29
34,15,32,40,32,28,11,30,35,37,17,7,20,1,4,41,31,1,8,1,23,13,39,10,37,1,1,3,24,35,1,5,1,28,6,21,25,13,2,1,8,19,15,18,21,1,25,12,1,28
37,16,26,35,26,33,9,20,28,37,12,6,14,1,6,39,33,1,10,1,31,25,39,11,41,1,1,3,18,35,1,4,1,31,8,20,28,14,2,1,5,19,13,22,23,1,24,17,1,31
35,11,30,40,30,34,11,26,36,37,18,15,11,1,4,33,24,1,8,1,26,22,38,7,40,1,1,2,22,32,1,3,1,32,6,22,27,9,2,1,5,22,14,16,19,1,28,13,1,17
32,17,39,40,23,26,18,24,37,31,10,6,14,1,5,37,37,1,16,1,29,20,41,7,30,1,1,3,20,35,1,4,1,34,10,18,32,9,2,1,8,14,12,22,26,1,24,13,1,28
38,11,33,35,20,28,16,22,41,36,13,14,10,1,6,38,33,1,9,1,31,23,38,14,40,1,1,3,27,26,1,4,1,31,8,21,24,12,2,1,5,18,19,17,24,1,30,7,1,29
27,18,35,36,29,27,14,31,26,38,14,9,12,1,5,36,39,1,11,1,33,24,41,7,34,1,1,3,20,40,1,4,1,31,8,19,25,10,2,1,6,21,12,16,23,1,22,16,1,30
38,16,31,36,25,29,10,27,34,38,14,9,8,1,6,32,36,1,11,1,19,23,41,7,35,1,1,2,21,29,1,4,1,40,11,19,24,22,3,1,5,18,16,16,27,1,33,13,1,26
37,15,39,37,22,25,11,29,31,37,20,7,11,1,5,34,33,1,8,1,26,20,41,9,34,1,1,2,16,31,1,4,1,40,6,19,24,18,3,1,10,29,13,13,27,1,28,17,1,23
40,16,25,37,21,33,12,24,35,38,14,9,10,1,5,36,23,1,6,1,28,18,39,7,33,1,1,2,28,31,1,3,1,34,9,19,23,11,2,1,4,16,17,21,28,1,28,13,1,31
41,10,38,39,26,22,19,26,36,33,16,5,8,1,5,29,34,1,10,1,26,24,39,12,36,1,1,3,21,29,1,4,1,34,7,20,31,15,2,1,10,17,13,17,32,1,26,13,1,23
39,13,37,40,24,30,17,29,34,34,18,10,10,1,6,28,30,1,10,1,24,22,41,7,38,1,1,3,21,34,1,3,1,36,8,19,23,16,2,1,5,19,12,15,27,1,32,13,1,26
32,13,25,39,35,19,14,32,41,34,18,6,11,1,4,29,30,1,9,1,32,22,39,7,39,1,1,3,19,36,1,4,1,37,9,23,28,15,2,1,8,17,11,21,27,1,24,16,1,25
36,16,31,40,26,33,14,17,36,38,11,7,15,1,5,38,34,1,17,1,30,24,41,8,36,1,1,3,21,23,1,4,1,27,6,19,28,12,2,1,8,19,12,24,28,1,21,10,1,32
37,16,33,40,25,35,17,26,39,31,13,8,10,1,5,31,38,1,11,1,24,20,41,8,35,1,1,3,23,29,1,4,1,31,7,21,22,12,2,1,6,27,15,13,19,1,34,17,1,28
30,18,35,40,25,24,6,26,39,38,15,11,12,1,5,36,23,1,13,1,20,28,41,6,33,1,1,3,22,37,1,4,1,34,10,20,28,14,2,1,9,19,17,16,28,1,32,8,1,30
33,7,33,38,25,21,12,23,29,36,15,8,13,1,6,38,40,1,9,1,30,16,41,10,37,1,1,3,19,25,1,4,1,30,11,22,33,17,2,1,5,25,18,27,28,1,35,14,1,20
38,12,30,40,25,20,16,20,33,29,23,8,19,1,4,39,37,1,11,1,33,22,41,7,36,1,1,3,15,32,1,4,1,35,9,17,28,10,2,1,6,12,18,27,31,1,26,14,1,23
