feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
27,12,41,39,29,35,19,35,37,40,17,26,15,1,6,30,42,2,9,1,31,23,33,8,34,1,1,5,25,21,1,4,1,32,10,18,16,10,3,1,6,23,12,21,19,1,38,14,1,27
36,17,33,41,20,33,23,28,39,38,15,24,10,1,5,37,41,2,13,1,30,27,40,4,35,1,1,7,19,32,1,5,1,26,9,31,29,11,3,1,8,17,15,21,14,1,25,12,1,21
31,16,34,41,23,22,19,33,39,39,19,21,7,1,5,27,32,2,10,1,27,34,41,7,36,1,1,11,26,38,1,4,1,25,9,29,23,14,3,1,6,17,12,15,19,1,37,13,1,29
31,15,33,42,36,18,27,29,39,38,20,12,17,1,4,36,41,2,11,1,32,14,40,8,35,1,1,7,21,33,1,5,1,19,10,29,25,9,3,1,6,24,13,25,22,1,22,16,1,29
37,10,34,40,30,28,20,21,36,42,23,16,14,1,4,31,41,2,12,1,32,23,34,12,38,1,1,7,23,38,1,4,1,18,7,27,29,9,3,1,7,17,15,26,18,1,33,12,1,25
37,14,34,42,28,32,30,26,34,39,20,25,11,1,6,30,36,2,14,1,29,23,41,9,38,1,1,4,19,32,1,4,1,23,8,21,18,10,3,1,7,21,11,16,26,1,40,14,1,16
35,14,40,39,22,27,19,25,37,37,12,21,16,1,5,34,41,2,11,1,32,31,42,8,32,1,1,5,18,36,1,4,1,27,9,16,30,7,3,1,9,19,16,22,24,1,29,13,1,27
38,12,35,39,17,28,29,35,42,31,18,27,10,1,6,31,41,2,14,1,37,24,40,14,33,1,1,7,24,29,1,5,1,22,9,26,21,8,3,1,4,13,16,18,22,1,34,11,1,20
24,12,39,42,29,29,22,33,35,41,16,25,11,1,7,35,38,2,16,1,33,29,39,5,32,1,1,7,18,37,1,4,1,21,9,19,19,10,3,1,6,25,12,16,23,1,31,14,1,27
33,13,37,39,22,34,24,28,38,40,18,15,9,1,8,29,41,2,11,1,26,19,42,6,34,1,1,4,25,32,1,4,1,31,11,29,21,14,3,1,6,22,16,16,27,1,36,10,1,19
37,16,41,37,28,30,24,26,35,39,24,22,10,1,5,36,40,2,9,1,26,18,42,10,34,1,1,7,18,31,1,4,1,32,7,29,14,16,3,1,6,21,12,16,23,1,32,13,1,20
42,20,37,40,20,34,29,24,36,39,22,27,10,1,5,32,38,2,11,1,29,18,41,8,27,1,1,7,25,35,1,4,1,31,8,22,15,13,3,1,5,14,16,17,19,1,27,11,1,33
40,10,40,42,19,26,27,25,37,36,21,15,9,1,6,34,38,2,16,1,28,23,39,6,32,1,1,5,19,34,1,4,1,30,8,21,30,12,3,1,12,10,18,17,34,1,30,14,1,24
38,16,40,42,23,32,30,26,36,39,25,19,11,1,4,29,33,2,10,1,31,28,41,8,35,1,1,7,24,36,1,5,1,33,9,22,13,11,3,1,6,17,18,13,21,1,26,15,1,20
37,12,35,40,31,21,26,32,39,38,23,25,9,1,4,21,41,2,13,1,33,28,35,8,42,1,1,6,18,33,1,5,1,29,10,29,17,11,3,1,7,15,16,20,27,1,24,13,1,19
38,14,36,40,31,34,25,29,38,37,13,23,11,1,5,31,42,2,19,1,33,23,40,7,34,1,1,8,19,30,1,4,1,22,6,18,21,9,3,1,10,17,15,16,25,1,27,12,1,27
35,16,37,41,19,39,26,30,38,35,21,23,11,1,4,22,40,2,12,1,30,28,41,9,33,1,1,8,24,27,1,5,1,28,7,24,19,10,3,1,6,32,12,14,16,1,34,16,1,16
32,16,38,40,21,30,20,29,36,38,21,16,11,1,5,36,41,2,13,1,23,28,42,6,34,1,1,8,23,33,1,4,1,26,7,30,19,12,3,1,10,15,14,18,26,1,36,9,1,26
33,11,38,39,30,26,27,27,36,39,24,19,12,1,5,35,41,2,9,1,36,18,42,7,32,1,1,7,17,31,1,4,1,29,10,20,20,15,3,1,6,24,15,22,23,1,33,12,1,15
38,18,37,40,23,20,28,19,35,41,29,16,13,1,5,36,42,2,15,1,33,25,39,8,31,1,1,6,20,32,1,4,1,26,9,13,23,10,3,1,6,11,16,27,30,1,34,12,1,22
